Name,Industry,Descripiton,Email,Phone,Address,Website,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broad Porch Coffee Co.,Cafe,Local coffee; student-friendly; community gathering space,info@broadporchcoffee.com,540-324-8215,"47 Court Square Harrisonburg, VA 22801",https://www.broadporchcoffee.com/harrisonburg-cafe,"Small, local brand with event space",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sage Bird Ciderworks,Cidery / Taproom,Local craft cidery; hosts community and wellness-friendly events,info@sagebirdciderworks.com,540-607-8084,"325 N Liberty Street, Harrisonburg, VA 22802",https://www.sagebirdciderworks.com/contact,Director: Brian Mancini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrisonburg Parks & Recreation,City Department,"Active living, youth programs, community wellness",,540-433-2475,"305 S Dogwood Dr, Harrisonburg, VA 22801",https://www.harrisonburgva.gov/contact-parks-recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friendly City Safe Space,Community Center,Wellbeing & community building,dandy@friendlycitysafespace.org,,217 South Liberty Street Harrisonburg VA 22801,https://friendlycitysafespace.org/contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Community Foundation of Harrisonburg & Rockingham,Community Foundation,"Local philanthropy, nonprofit support",,540-432-3863,"317 S Main St, Harrisonburg, VA 22801",https://www.tcfhr.org/contact-us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Counceling Center,Counceling Center,"Mental health, community support",office@hbccc.org,540-433-1546,96 Campbell St. Harrisonburg VA 22801,https://www.hbccc.org/#contact,Local small business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockingham County Parks & Recreation,County Department,Recreation programs for all ages & abilities,,540-564-3160,"1 Rockingham Park Way, Penn Laird, VA 22846",https://www.rockinghamcountyva.gov/208/Recreation,Downtown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Stone Spa,Day Spa / Wellness,Wellness services; community health,shoak.cedarstone@gmail.com,,"Harrisonburg, VA",https://cedarstonespa.com/contact-us/,Local storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bella Gelato & Pastries,Dessert / Cafe,Family-friendly; local ingredients,bellabanquets2013@gmail.com,540-217-5657,"80 W. Water Street, Harrisonburg, VA 22801 ",https://www.bellalunawoodfired.com/bella-gelato ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten Thousand Villages (Harrisonburg),Fair Trade Retail,Ethical retail; community education,harrisonburg@tenthousandvillages.com,540-442-1010,"181 S. Main Street, Harrisonburg, VA, 22801, US",https://www.tenthousandvillages.com/pages/stores-harrisonburg-va,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoga Sol,Fitness,Physical wellness & mindfulness,info@yogasolva.com,540-217-2023,"90 N. Main St Suite 101, Harrisonburg VA 22802",https://www.yogasolva.com/contact-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valley Fitness,Fitness,Physical wellness & mindfulness,info@valleyfitnessharrisonburg.com,540 433-3434,"381 Lucy Dr Harrisonburg, VA 22801",https://valleyfitnessharrisonburg.com/contact-us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocktown CrossFit,Fitness / Gym,Inclusive fitness and health,rocktowncrossfit@gmail.com,540-446-5409,"1645 Reservoir St Suite 149, Harrisonburg, VA 22801",https://rocktowncrossfit.com/contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planet Fitness - Harrisonburg,Fitness / Gym,Affordable fitness access,,540-212-2131,"1790 E Market St, Harrisonburg, VA 22801",https://www.planetfitness.com/gyms/harrisonburg-va/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burn Boot Camp,Fitness / Gym,Physical fitness and classes,harrisonburgva@burnbootcamp.com,540-705-0411,"4063 Quarles Ct, Harrisonburg, VA 22801",https://locations.burnbootcamp.com/locations/harrisonburg-va/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Fitness and Yoga,Fitness / Yoga,Fitness classes,,540-649-1671,"58 Myers Corner Drive, Staunton VA 24401",https://phoenixfitnessandyoga.com/contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friendly City Food Co-op,Grocery Co-op,"Healthy food access, local producers",,540-801-8882,"150 E. Wolfe Street Harrisonburg, VA 22802",https://friendlycity.coop/grocery-store-contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenandoah Valley Bicycle Coalition,Nonprofit (Active Transportation),"Active mobility, safe biking/walking, community health",Hello@SVBCoalition.org,540-200-8637,"85 W Gay St, Harrisonburg, VA 22802",https://svbcoalition.org/contact-us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Home Learning Center,Nonprofit (Afterschool),"Before/after school care, enrichment",info@secondhomeva.org,540-434-7550,"281 E Market St, Harrisonburg, VA 22801",https://www.secondhomelc.org/contact-us,Harrisonburg distribution partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explore More Discovery Museum,Nonprofit (Childrens Museum),"Hands-on learning, family wellness & education",info@iexploremore.com,540-442-8900,"150 S Main St, Harrisonburg, VA 22801",https://www.iexploremore.com/contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Way of Harrisonburg & Rockingham County,Nonprofit (Community),"Community impact, health/education/financial stability",,540-434-6639,"100 S Mason St, Suite A, Harrisonburg, VA 22801",https://uwhr.org/contact-us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adagio House,Nonprofit (disability services & advocacy),"Inclusion, advocacy for and development of disability services",info@adagiohouse.org,540-746-0345,"1380 Blackberry Lane, Rockingham VA 22802",https://www.adagiohouse.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Arc of Harrisonburg & Rockingham,Nonprofit (Disability Services),"Inclusion, services for people with intellectual & developmental disabilities",info@hrarc.org,540-437-9214,"620 Simms Ave, Harrisonburg, VA 22802",https://thearcofhr.org/contact-us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valley Associates for Independent Living Inc.,Nonprofit (disability support & living),"Disability support, independent living, adaptive recreation",vail@govail.org,540-433-6513,"3210 Peoples Drive Suite 220, Harrisonburg VA  22801",https://govail.org/about/,Respected local outfitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrisonburg Downtown Renaissance,Nonprofit (Downtown Development),"Community events, placemaking, partnerships",,540.432.8922,"217 S Liberty St #204, Harrisonburg, VA 22801",https://downtownharrisonburg.org/contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skyline Literacy,Nonprofit (Education),Adult & family literacy; community integration,info@skylineliteracy.org,540-433-0505,"100 South Mason St Suite B Harrisonburg, VA 22801",https://www.skylineliteracy.org/,Close regional partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Ridge Area Food Bank (Local Partners),Nonprofit (Hunger Relief),Nutrition & wellness support for families,,540-248-3663,"96 Laurel Hill Road P.O. Box 937 Verona, VA 24482",https://www.brafb.org/contact-us/,Local guide service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Collins Center & Child Advocacy Center,Nonprofit (Victim Services),"Trauma-informed education, prevention programs",info@thecollinscenter.org,540-432-6430,"217 S. Liberty Street, Suite 205 Harrisonburg, VA 22801",https://www.thecollinscenter.org/contact/,Nearby valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boys & Girls Clubs of Harrisonburg & Rockingham County,Nonprofit (Youth),"After-school programs, mentoring, healthy lifestyles",info@bgchr.org,540-434-6060,"620 Simms Ave, Harrisonburg, VA 22802",https://www.bgchr.org/about/contact/,Sponsorships for events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On the Road Collaborative,Nonprofit (Youth),"School enrichment, career pathways",contact@ontheroadcollaborative.com,540-225-2881,"25 N Liberty St. Suite 301 Harrisonburg, VA 22801",https://ontheroadcollaborative.com/contact/,Co-sponsor trail days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Showalter's Orchard & Old Hill Cider,Orchard / Cidery,"Agritourism, family wellness outdoors",,540-896-7582,"17768 Honeyville Rd, Timberville, VA 22853",https://www.showaltersorchard.com/contact,Student volunteers & co-programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mossy Creek Fly Fishing,Outdoor Retail,Outdoor recreation and conservation partnerships,store@mossycreekflyfishing.com,540-434-2444,"480 E Market St, Harrisonburg, VA 22801",https://www.mossycreekflyfishing.com/pages/contact-us,Regional partner; events in Hburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walkabout Outfitter - Harrisonburg,Outdoor Retail,Outdoor recreation and access,harrisonburg@WalkaboutOutfitter.com,540-434-9900,"90 N Main St Ste 102, Harrisonburg, VA 22802",https://www.walkaboutoutfitter.com/pages/contact-us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massanutten Resort Outdoor Adventures,Outdoor Retail / Activity,Family outdoor recreation; MTB/hike,frontdesk@massresort.com,540.289.9441,"1822 Resort Drive Massanutten, VA 22840",https://www.massresort.com/play/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild GUYde Adventures,Outdoor Retail / Activity,Youth & family outdoor trips; skill-building,lester@wildguyde.com,540-433-1637,"1047 Stuart St., Harrisonburg, VA 22802",http://www.wildguyde.com/,Corporate wellness; community days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenandoah River Adventures,Outdoor Retail / Activity,Outdoor access for families & youth,shenandoahcanoes@gmail.com,888-309-7222,"Shenandoah, VA",https://shenandoahriveradventures.com/,High student traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gaines Group Architects (Trails/Access partners),Outdoor Retail / Activity,Accessible outdoor spaces & trails, adrienne@thegainesgroup.com,434-979-5245,"141 W Bruce St #201, Harrisonburg, VA 22801",https://www.thegainesgroup.com/contact/,Sports club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenandoah Valley Bicycle Coalition (partner),Outdoor Retail / Activity,"Trails, bike/ped access, inclusive rides",hello@svbcoalition.org,,"85 W Gay St, Harrisonburg, VA 22802",https://svbcoalition.org/contact-us/,Local co-op; youth agriculture ties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMU UREC Adventure Center,Outdoor Retail / Activity,"Climbing, trips, outdoor gear education",,,"701 Driver Dr, Harrisonburg, VA 22807",https://www.jmu.edu/recreation/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenandoah National Park Trust ,Outdoor Retail / Activity,Trails & access; youth engagement,,,"Charlottesville, VA (regional)",https://www.snptrust.org/,Health & PE partnerships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenandoah Bicycle Co. Events ,Outdoor Retail / Activity,Trail stewardship & inclusive rides,info@shenandoahbicycle.com,540-437-9000,"Harrisonburg, VA",https://www.shenandoahbicycle.com/contact,Downtown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massanutten Bike Shop,Outdoor Retail / Activity,Youth MTB programs; family outdoor recreation,info@massresort.com, 540-289-4957,"4000 Massanutten Dr, Massanutten, VA 22840",https://www.massresort.com/play/mountain-biking/bike-shop/,Breakfast & lunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentara RMH Wellness Center,Outdoor Retail / Activity,Community wellness; preventive health programs,,540-564-5682,"2500 Wellness Dr, Harrisonburg, VA 22801",https://rmhwellnesscenter.com/,Downtown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planet Fitness (Harrisonburg),Outdoor Retail / Activity,Affordable access to fitness for all,,540-212-2131,1790 E Market Street Harrisonburg VA 22801,https://www.planetfitness.com/gyms/harrisonburg-va,Downtown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockingham Cooperative (Outdoor/Workwear),Outdoor Retail / Activity,Retail,,540-434-3856,"112 Meigs Lane, Dayton VA 22803",https://www.rockinghamcoop.com/contact-us,Brick & mortar + truck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrisonburg Rockingham Community Services Board (HRCSB),Public Agency (Behavioral Health),Mental health & developmental services; school-based support,,540-434-1941,"1241 North Main St. Harrisonburg, VA 22802",https://www.hrcsb.org/contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrisonburg City Public Schools (HCPS),Public School Division,"K12 partnerships, health/PE, community engagement",,540-434-9916,"One Court Square, Harrisonburg, VA 22801",https://harrisonburg.k12.va.us/District/,Multiple locations citywide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocktown Kitchen,Restaurant,Locally sourced menu; community focus,,540-217-2425,"217 S. Liberty St. #101 Harrisonburg, VA 22801",https://rocktownkitchen.com/contact-us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Bowl of Good,Restaurant,"Healthy, global comfort foods; community focus",info@abowlofgood.com, 540-437-9020,"831 Mt. Clinton Pike, Harrisonburg, VA 22802",https://abowlofgood.com/contact-us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Little Grill,Restaurant,Community-rooted spot with inclusive menu,,540-434-3594,"621 N Main St, Harrisonburg, VA 22802",https://www.thelittlegrill.com/contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bella Luna Wood-Fired Pizza,Restaurant,Farm-to-table ethos; community dining,bellabanquets2013@gmail.com,540-433-1366,"80 W Water St, Harrisonburg, VA 22801",https://bellalunawoodfired.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grilled Cheese Mania,Restaurant,Local brand; family-friendly,,540-746-7515,"1476 S Main St, Harrisonburg, VA 22801",https://www.grilledcheesemania.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vito's Italian Kitchen,Restaurant,Local restaurant; family-friendly,,540-433-1113,"1047 Port Republic Road Harrisonburg, VA 22801",https://www.vitositaliankitchen.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. J's Bagels & Deli ,Restaurant,Local bagel shop,,,Harrisonburg VA,https://mrjsbagels.com/contact-us,Small studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clementine Cafe,Restaurant,Community arts and live events,info@clementinecafe.com,540-801-8881,"153 South Main Street, Harrisonburg, VA",https://clementinecafe.com/contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenandoah Valley Target Archers (SVTA),Sporting Club,Physical activity & wellness,bowpro1@comcast.net,,1210 Edgewood Dr. Harrisonburg VA 22801,https://svta.usarchery.org/contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizons Edge Sports Campus,Sports Complex,"Youth sports, leagues, community wellness",info@horizonsedgeva.com,540-340-3343,"325 Cornerstone Ln, Harrisonburg, VA 22802",https://horizonsedgeva.com/contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Health,Supplement Store,,,540-217-2190,"1645 Reservoir St suite 160, Harrisonburg, VA 22801",https://www.instagram.com/completehealth_harrisonburg/?hl=en ,LGBTQ community center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMU Campus Recreation (UREC),University Dept,"Inclusive recreation, adaptive programs, youth camps",urec@jmu.edu,540-568-8732,"701 Driver Dr, Harrisonburg, VA 22807",https://www.jmu.edu/recreation/about/contact-us.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluestone Vineyard,Winery,"Community events, outdoor recreation",rc@bluestonevineyard.com,540-828-0099,"4828 Spring Creek Rd, Bridgewater VA 22812",httpshttps://bluestonevineyard.com/contact/://www.bluestonevineyard.com/contact-us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrossKeys Vineyards,Winery,"Events, hospitality",info@crosskeysvineyards.com,540-234-0505,6011E Timber Ridge Rd Mt Crawford VA 22841,https://www.crosskeysvineyards.com/contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brix & Columns Vineyards,Winery,Local events and partnerships,,540-810-0566,1503 Dave Berry Road McGayhesville VA,https://www.brixandcolumns.com/contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Center Yoga Collective,Yoga Studio,Inclusive wellness & mindfulness,thecenteryogacollective@gmail.com,,"217 S. Liberty Street, Suite 201
Harrisonburg, VA 22801",https://thecenteryogacollective.org/our-mission/contact-location/,Basketball Team / adaptive recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVU (Shenandoah Valley United) Club,Youth Sporting,Youth soccer families,,540-269-9703,735 East Market St. Suite C. Harrisonburg Va. 22801,https://www.shenvalleysoccer.com/contact-us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUMP24,Fitness / Gym,Physical fitness,,540-892-0716,"1645 Reservoir St Ste 150, Harrisonburg, VA 22801",https://pump24fitness.com/harrisonburg/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verta Fitness,Fitness / Gym,Physical fitness,,540-225-1050,"65 Stover Dr, McGaheysville, VA 22840",https://vertafitness.com/pages/contact-us ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation Sports,Recreation Activity ,Recreation programs for all ages & abilities / Bubble Soccer,,540-705-0951,"1925 E Market St Ste 302, Harrisonburg, VA 22801",https://goelevationsports.com/contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thriveworks Counseling & Psychiatry Harrisonburg,Mental Health / Wellbeing ,Counseling and mental health services,,540-501-5289,"370 Neff Ave, Harrisonburg, VA 22801",https://thriveworks.com/business-care/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abundant Life Kitchen,Harrisonburg Farmers Market Vendor,Vendor- Harrisonburg Farmers Market,abundantlifelexington@gmail.com,503-406-0979,"Lexington, VA",https://www.harrisonburgfarmersmarket.com/abundant-life-kitchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apalache Chocolate,Harrisonburg Farmers Market Vendor,Vendor- Harrisonburg Farmers Market,apalachechocolate@gmail.com,540-330-5722,"Harrisonburg, VA",https://www.harrisonburgfarmersmarket.com/apalache-chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon Acres,Harrisonburg Farmers Market Vendor,Vendor- Harrisonburg Farmers Market,lorindapalin@gmail.com,,"Broadway, VA",https://www.harrisonburgfarmersmarket.com/avalon-acres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluestone Vineyard,Harrisonburg Farmers Market Vendor,Vendor- Harrisonburg Farmers Market,info@bluestonevineyard.com,540-828-0099,"Bridgewater, VA",https://www.harrisonburgfarmersmarket.com/bluestone-vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMC Bakes,Harrisonburg Farmers Market Vendor,Vendor- Harrisonburg Farmers Market,Sarahbmc@bmcbakes.com,302-535-5934," Harrisonburg, VA",https://www.harrisonburgfarmersmarket.com/bmc-bakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce’s Syrups & Candies,Harrisonburg Farmers Market Vendor,Vendor- Harrisonburg Farmers Market,brucesmaple@yahoo.com,540-474-5661,"Blue Grass, VA",https://www.harrisonburgfarmersmarket.com/bruces-syrups-and-candies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calixto Farm,Harrisonburg Farmers Market Vendor,Vendor- Harrisonburg Farmers Market,calixtofarm3@gmail.com,540-849-9452,"Fishersville, VA",https://www.harrisonburgfarmersmarket.com/calixto-farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crazy Fox Coffee Roasting Co. ,Harrisonburg Farmers Market Vendor,Vendor- Harrisonburg Farmers Market,kevin@crazyfoxcoffee.com,540-421-1150,"Dayton, VA",https://www.harrisonburgfarmersmarket.com/crazy-fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crêpes Didot,Harrisonburg Farmers Market Vendor,Vendor- Harrisonburg Farmers Market,evaesperanzadidot@gmail.com ,,"Harrisonburg, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furious Sauces,Harrisonburg Farmers Market Vendor,Vendor- Harrisonburg Farmers Market,info@furioussauces.com,540-560-0263,"Broadway, VA",https://www.harrisonburgfarmersmarket.com/furious-sauces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mill Song Bakery,Harrisonburg Farmers Market Vendor,Vendor- Harrisonburg Farmers Market,millsongbakery@gmail.com,540-434-1001,"Rockingham, VA",https://www.harrisonburgfarmersmarket.com/mill-song-bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuban Falvor ,Harrisonburg Farmers Market Vendor,Vendor- Harrisonburg Farmers Market,,504-372-7190,"Harrisonburg, VA",https://www.harrisonburgfarmersmarket.com/cuban-flavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet McGee,Harrisonburg Farmers Market Vendor,Vendor- Harrisonburg Farmers Market,1sweetmcgee@gmail.com,,"Harrisonburg, VA",https://www.harrisonburgfarmersmarket.com/sweet-mcgee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freezkraft,Harrisonburg Farmers Market Vendor,Vendor- Harrisonburg Farmers Market,info@furioussauces.com,540-227-4641,"Broadway, VA",https://www.harrisonburgfarmersmarket.com/freezkraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frozen Harvest,Harrisonburg Farmers Market Vendor,Vendor- Harrisonburg Farmers Market,frozenharvestharrisonburg@gmail.com,540-476-0945,"Harrisonburg, VA",https://www.harrisonburgfarmersmarket.com/frozen-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hott Apiary,Harrisonburg Farmers Market Vendor,Vendor- Harrisonburg Farmers Market,hottapiary@outlook.com,540-383-3323,"New Market, VA",https://www.harrisonburgfarmersmarket.com/hott-apiary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climbing ,University Recreation – Sport/Outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseball,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basketball-Men's,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basketball-Women's,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club Dodgeball,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club Field Hockey,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club Gymnastics,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club Ice Hockey,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club Quadball,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club Roundnet (Spikeball),University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club Softball,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
